dataset,k,acc_euc_mean,acc_euc_std,f1_euc_mean,time_euc_mean,acc_man_mean,acc_man_std,f1_man_mean,time_man_mean,acc_cos_mean,acc_cos_std,f1_cos_mean,time_cos_mean,acc_tri_mean,acc_tri_std,f1_tri_mean,time_tri_mean,acc_diff_tri_euc
Iris,1,0.773333333,0.10168646,0.768165649,0.039462696,0.76,0.099886557,0.755091575,0.000489028,0.772,0.102654121,0.767120176,0.001491836,0.766666667,0.100113314,0.761216117,0.011584838,-0.006666667
Iris,3,0.784,0.093856648,0.777610501,0.00372999,0.764,0.103639004,0.756224997,0.000463134,0.78,0.101015254,0.773354608,0.001459854,0.772,0.111952371,0.765856773,0.0114804,-0.012
Iris,5,0.808,0.089988661,0.802878714,0.00403696,0.821333333,0.091785019,0.817056573,0.00046422,0.810666667,0.091705929,0.80514134,0.001448836,0.806666667,0.093556584,0.801933696,0.011462734,-0.001333333
Iris,7,0.817333333,0.095056971,0.812780146,0.004098696,0.828,0.087380628,0.82347767,0.000442912,0.824,0.098754144,0.818997336,0.00140619,0.808,0.095845681,0.803708662,0.01125824,-0.009333333
Iris,9,0.825333333,0.095133276,0.821266659,0.004227196,0.810666667,0.0974598,0.806060162,0.00050183,0.825333333,0.096081976,0.82090639,0.001554014,0.816,0.096712398,0.812182484,0.011677564,-0.009333333
Wine,1,0.966339869,0.041036654,0.967609502,0.004134168,0.951699346,0.048211696,0.954118844,0.000509262,0.971895425,0.038304746,0.972762127,0.001577028,0.967254902,0.039748339,0.969873682,0.016066448,0.000915033
Wine,3,0.957058824,0.046732049,0.958819255,0.004729598,0.959346405,0.049820762,0.961126503,0.000489488,0.957058824,0.046732049,0.958819255,0.001591504,0.959411765,0.044280203,0.962286232,0.016025716,0.002352941
Wine,5,0.949150327,0.051371527,0.951126355,0.004435114,0.949150327,0.050282344,0.951878492,0.000502878,0.949084967,0.052880665,0.950771303,0.001563644,0.946862745,0.049340067,0.950233026,0.015864406,-0.002287582
Wine,7,0.933267974,0.058422335,0.935889851,0.004709888,0.929803922,0.058575649,0.933395197,0.000477204,0.94,0.05333485,0.942476264,0.001454462,0.935555556,0.054086695,0.939468975,0.01552603,0.002287582
Wine,9,0.92875817,0.063725063,0.931618974,0.00411087,0.924183007,0.061751842,0.927648056,0.000508886,0.933267974,0.062586536,0.935846524,0.00156843,0.922026144,0.059942996,0.926045954,0.015968258,-0.006732026
BreastCancer,1,0.897362155,0.035517219,0.891384036,0.005113794,0.892424812,0.037554532,0.886671588,0.000822586,0.894542607,0.037541942,0.888086944,0.002635002,0.879799499,0.034776218,0.87364421,0.15065434,-0.017562657
BreastCancer,3,0.911447368,0.040256021,0.906398742,0.004930968,0.907568922,0.038345073,0.902539704,0.000812678,0.910394737,0.037356594,0.905124934,0.002568006,0.91108396,0.034254703,0.906324109,0.14576659,-0.000363409
BreastCancer,5,0.925156642,0.034149849,0.921047526,0.004889624,0.917086466,0.035054286,0.912433391,0.000823888,0.924110276,0.035323576,0.919731349,0.00259436,0.917775689,0.035713456,0.913084394,0.14426337,-0.007380952
BreastCancer,7,0.919172932,0.035780011,0.914550157,0.00494469,0.923051378,0.035428116,0.918695457,0.000811926,0.920582707,0.035987838,0.915906158,0.002570844,0.917412281,0.036043877,0.912775218,0.144119488,-0.001760652
BreastCancer,9,0.918126566,0.034257095,0.913512057,0.004938122,0.926221805,0.036302153,0.921940011,0.000851448,0.917788221,0.037709004,0.913166892,0.002541096,0.917418546,0.037049306,0.912912436,0.144063806,-0.00070802
Digits,1,0.987981999,0.008136621,0.987953108,0.010066554,0.986089385,0.009287564,0.986051107,0.00616074,0.988315332,0.008206835,0.988278153,0.007304884,0.986646182,0.007945378,0.986652385,1.529004462,-0.001335816
Digits,3,0.986757294,0.007698848,0.986743619,0.010014862,0.983086903,0.009400197,0.983006343,0.006159922,0.986757294,0.007940501,0.986749927,0.007293918,0.9823054,0.009188267,0.982246008,1.521884292,-0.004451893
Digits,5,0.986310987,0.009003113,0.986255212,0.0093164,0.985307883,0.009787715,0.985242733,0.006196212,0.986531968,0.008567789,0.986477458,0.007423064,0.984530726,0.009152648,0.984455332,1.531847242,-0.001780261
Digits,7,0.985639354,0.008277224,0.985596056,0.009682408,0.983192427,0.008821047,0.983125435,0.006336584,0.9843054,0.008834928,0.98422689,0.007328772,0.983418994,0.009505277,0.983380558,1.542985562,-0.00222036
Digits,9,0.983080695,0.008926586,0.983015748,0.009777846,0.98096648,0.00871984,0.980856326,0.00645043,0.983081316,0.008928182,0.982974761,0.007310412,0.981412787,0.01040503,0.981335926,1.529275008,-0.001667908
Synthetic3C,1,0.7975,0.032537263,0.797270426,0.005541068,0.77875,0.041284386,0.778693531,0.000921042,0.79975,0.033167209,0.799444232,0.002990072,0.79675,0.036492416,0.796823443,0.282916854,-0.00075
Synthetic3C,3,0.81675,0.044722073,0.817591955,0.005637256,0.8035,0.042411372,0.804444219,0.000951674,0.8175,0.045316348,0.818274533,0.003036338,0.80925,0.045232534,0.810009696,0.283841164,-0.0075
